ID,Karakter,Visualisert ved,Hendelse,Sannsynlighet for å trekkes,Kommentarer,Valg 1,Initiativ,Motivasjon,Ansvarskompetent,Nysgjerrig,Tillit,Relasjonell,Oppdragsforståelse,Blid / imøtekommende,Utholdenhet,Trygg,Byggende,Strukturert,Behovsorientert,Kommunikativ,Lyttende,Økonomi,Underkategori 17,Underkategori 18,Underkategori 19,Underkategori 20,Neste kort,Valg 2,Initiativ,Motivasjon,Ansvarskompetent,Nysgjerrig,Tillit,Relasjonell,Oppdragsforståelse,Blid / imøtekommende,Utholdenhet,Trygg,Byggende,Strukturert,Behovsorientert,Kommunikativ,Lyttende,Økonomi,Underkategori 17,Underkategori 18,Underkategori 19,Underkategori 20,Neste kort,Valg 3,Initiativ,Motivasjon,Ansvarskompetent,Nysgjerrig,Tillit,Relasjonell,Oppdragsforståelse,Blid / imøtekommende,Utholdenhet,Trygg,Byggende,Strukturert,Behovsorientert,Kommunikativ,Lyttende,Økonomi,Underkategori 17,Underkategori 18,Underkategori 19,Underkategori 20,Neste kort
1,N/A,Tekst,"""Velkommen til oss i (navn på virksomheten)! (Swipe for å gå videre)""",,,"""Takk!""",,,,,,,,,,,,,,,,,,,,,2,"""Gleder meg!""",,,,,,,,,,,,,,,,,,,,,2,"""Tusen takk!""",,,,,,,,,,,,,,,,,,,,,2
2,N/A,Tekst,"""Vi vil du skal lykkes i arbeidslivet. Derfor ber vi deg spille dette spillet.""",,,"""Spennende""",,,,,,,,,,,,,,,,,,,,,3,"""Hvorfor det?""",,,,,,,,,,,,,,,,,,,,,3,"""Ok""",,,,,,,,,,,,,,,,,,,,,3
3,N/A,Tekst,"""Her får du trene på å gjøre valg du kan stå overfor på jobb. Og hva blir effektene av dine valg? """,,,"""Vet ikke""",,,,,,,,,,,,,,,,,,,,,4,"""Det er vel lett?""",,,,,,,,,,,,,,,,,,,,,4,"""Godt spørsmål""",,,,,,,,,,,,,,,,,,,,,4
4,N/A,Tekst,"""Valgene du tar i virkeligheten former ditt arbeidsliv. Du vinner på å forstå hvordan.""",,,"""Gleder meg!""",,,,,,,,,,,,,,,,,,,,,5,"""Jeg liker å vinne""",,,,,,,,,,,,,,,,,,,,,5,"""Spennende""",,,,,,,,,,,,,,,,,,,,,5
5,N/A,Tekst,"""I spillet starter du som tilkallingsvikar. Etterhvert som du bygger relasjoner og øker scoren din på Folk, Kunder, Arbeidsmiljø og Økonomi vil du få fast vikariat. Målet i spillet er å få tilbud om fast jobb.""",,,"""Skjønner""",,,,,,,,,,,,,,,,,,,,,6,"""Vi får prøve""",,,,,,,,,,,,,,,,,,,,,6,"""Skjønner det sikkert etterhvert""",,,,,,,,,,,,,,,,,,,,,6
6,N/A,Tekst,"""Lek deg for å oppleve ulike effekter av valgene dine.""",,,"""Tenk konsekvenser""",,,,,,,,,,,,,,,,,,,,,7,"""Tenk relasjoner""",,,,,,,,,,,,,,,,,,,,,7,"""Tenk resultater""",,,,,,,,,,,,,,,,,,,,,7
7,N/A,Tekst,"""Lykke til! Hilsen (sett inn navn), Konsernsjef i (navn på virksomheten)""",,,"""Tusen takk!""",,,,,,,,,,,,,,,,,,,,,8,"""Tusen takk!""",,,,,,,,,,,,,,,,,,,,,8,"""Tusen takk!""",,,,,,,,,,,,,,,,,,,,,8
8,N/A,Tekst,"""Se valgene du kan ta ved å swipe og holde, til venstre, høyre eller ned""",,,"""Venstre""",,,,,,,,,,,,,,,,,,,,,9,"""Høyre""",,,,,,,,,,,,,,,,,,,,,9,"""Ned""",,,,,,,,,,,,,,,,,,,,,9
9,N/A,Tekst,"""Swipe tilbake uten å slippe for å se de andre valgene.""",,,"""Ok""",,,,,,,,,,,,,,,,,,,,,10,"""Ok""",,,,,,,,,,,,,,,,,,,,,10,"""Ok""",,,,,,,,,,,,,,,,,,,,,10
10,Vikarkonsulent,Telefondame,"""Hei og velkommen til oss! Jeg ringer deg når vi har kunder som trenger din hjelp. Vi snakkes!""",,,"""Gleder meg!""",,,,,,,,5,,,5,,,,,,,,,,,"""Ok""",,,,,,,,,,,,,,,,,,,,,,"""Snakkes""",,,,,,,,,,,,,,,,,,,,,
